bcr_sample_barcode	shipment_portion_bcr_aliquot_barcode	bcr_shipment_portion_uuid	center_id	is_ffpe	plate_id	portion_number	shipment_portion_day_of_shipment	shipment_portion_month_of_shipment	shipment_portion_year_of_shipment
CDE_ID:2673864				CDE_ID:4170557					
TCGA-18-5592-01A	TCGA-18-5592-01A-21-2194-20	faeb872c-4711-4218-a772-c660855358f7	20	NO	2194	21	5	3	2012
TCGA-18-5595-01A	TCGA-18-5595-01A-21-2194-20	cf74338e-67f3-4979-a898-8a8c20bc9485	20	NO	2194	21	5	3	2012
TCGA-21-5782-01A	TCGA-21-5782-01A-21-2194-20	5ad0c478-996f-4211-a829-ff7b0fec72d2	20	NO	2194	21	5	3	2012
TCGA-21-5784-01A	TCGA-21-5784-01A-21-2194-20	29d0b45f-ad9b-49a7-af41-979364bc1728	20	NO	2194	21	5	3	2012
TCGA-21-5786-01A	TCGA-21-5786-01A-21-2194-20	98c3c72d-b20b-400d-a53e-8e7d24c3e79a	20	NO	2194	21	5	3	2012
TCGA-21-5787-01A	TCGA-21-5787-01A-21-2194-20	37941bbd-aee2-4a9d-891a-a0aa0e8c7714	20	NO	2194	21	5	3	2012
TCGA-22-5471-01A	TCGA-22-5471-01A-21-2194-20	43c5c2ec-d9a9-4fa2-8f12-fa74a31d2e3f	20	NO	2194	21	5	3	2012
TCGA-22-5472-01A	TCGA-22-5472-01A-21-2194-20	61b44402-a6de-458c-9d45-4b4c258b1590	20	NO	2194	21	5	3	2012
TCGA-22-5473-01A	TCGA-22-5473-01A-21-2194-20	a79a1a5c-7c23-4c61-9e70-6f1e6c1f5317	20	NO	2194	21	5	3	2012
TCGA-22-5474-01A	TCGA-22-5474-01A-21-2194-20	78ec1e12-ed4e-44f3-abb8-aff8b543e2d1	20	NO	2194	21	5	3	2012
TCGA-22-5477-01A	TCGA-22-5477-01A-21-2194-20	5162d956-a988-4b03-ae52-d57aa76b1025	20	NO	2194	21	5	3	2012
TCGA-22-5478-01A	TCGA-22-5478-01A-21-2194-20	7554f5f0-1c1a-4f71-9d7a-836266435c78	20	NO	2194	21	5	3	2012
TCGA-22-5480-01A	TCGA-22-5480-01A-21-2194-20	52b7abd6-8f9d-4aac-bb99-f0f2c596dac8	20	NO	2194	21	5	3	2012
TCGA-22-5482-01A	TCGA-22-5482-01A-21-2194-20	2536d089-b6cf-464e-bd43-9c97b0d8948f	20	NO	2194	21	5	3	2012
TCGA-22-5485-01A	TCGA-22-5485-01A-21-2194-20	74b2de24-102f-449b-bbf8-ed2e5aaedb63	20	NO	2194	21	5	3	2012
TCGA-22-5489-01A	TCGA-22-5489-01A-21-2194-20	04508643-b5be-4165-9d6e-4f3687afdfd7	20	NO	2194	21	5	3	2012
TCGA-22-5491-01A	TCGA-22-5491-01A-21-2194-20	82d12699-72d1-4283-b45e-35680eb3670b	20	NO	2194	21	5	3	2012
TCGA-22-5492-01A	TCGA-22-5492-01A-21-2194-20	d68eb7ee-e5c5-413b-973b-82cf3ae37d55	20	NO	2194	21	5	3	2012
TCGA-34-5234-01A	TCGA-34-5234-01A-21-2194-20	a26c5140-ea1f-4fc1-adbb-a3c8203bd19c	20	NO	2194	21	5	3	2012
TCGA-37-5819-01A	TCGA-37-5819-01A-21-2194-20	9218f291-efd3-41a3-a784-7934ea10fe03	20	NO	2194	21	5	3	2012
TCGA-43-5668-01A	TCGA-43-5668-01A-21-2194-20	e34afcb4-f3ec-4f28-b419-cf55da46f62e	20	NO	2194	21	5	3	2012
TCGA-56-5897-01A	TCGA-56-5897-01A-12-2194-20	59c57cc0-8672-4e6d-8248-65c676f2db8b	20	NO	2194	12	5	3	2012
TCGA-56-5898-01A	TCGA-56-5898-01A-12-2194-20	f1648030-8469-478a-99e6-13ec906dca7e	20	NO	2194	12	5	3	2012
TCGA-22-5483-01A	TCGA-22-5483-01A-21-2194-20	6ff0360e-5a35-4886-8277-c2883374ebb0	20	NO	2194	21	5	3	2012
TCGA-33-6737-01A	TCGA-33-6737-01A-13-2194-20	f15f6e1d-a3f0-4de4-9060-833a3989022f	20	NO	2194	13	5	3	2012
TCGA-34-5231-01A	TCGA-34-5231-01A-22-2194-20	70790e8d-ce93-491e-8b1f-f3a5b60871b5	20	NO	2194	22	5	3	2012
TCGA-34-5232-01A	TCGA-34-5232-01A-22-2194-20	df107ef1-536f-4ba9-aed3-7bed52caa45c	20	NO	2194	22	5	3	2012
TCGA-34-5236-01A	TCGA-34-5236-01A-22-2194-20	428e8766-529c-4372-8ea0-908252cd825c	20	NO	2194	22	5	3	2012
TCGA-34-5239-01A	TCGA-34-5239-01A-22-2194-20	fc556f8e-523f-4dc1-926c-bdc0eb9debb9	20	NO	2194	22	5	3	2012
TCGA-34-5927-01A	TCGA-34-5927-01A-13-2194-20	285a2366-5d39-41d4-ba6a-36515454fcb6	20	NO	2194	13	5	3	2012
TCGA-34-5928-01A	TCGA-34-5928-01A-13-2194-20	98d56989-dbfb-4d7a-91f5-13f9163bab5f	20	NO	2194	13	5	3	2012
TCGA-34-5929-01A	TCGA-34-5929-01A-13-2194-20	b2b7dd0b-8713-45ee-9dfe-351b895c2046	20	NO	2194	13	5	3	2012
TCGA-39-5019-01A	TCGA-39-5019-01A-21-2194-20	a928f1c8-ed6b-4908-8174-03bf26fd1fa4	20	NO	2194	21	5	3	2012
TCGA-39-5022-01A	TCGA-39-5022-01A-22-2194-20	441d3e63-041c-48f0-bc13-9febd802aab8	20	NO	2194	22	5	3	2012
TCGA-39-5024-01A	TCGA-39-5024-01A-22-2194-20	82c886e2-5803-46e5-9553-949321c21d34	20	NO	2194	22	5	3	2012
TCGA-39-5027-01A	TCGA-39-5027-01A-22-2194-20	65da1c24-f058-4754-80b1-bb45247f835b	20	NO	2194	22	5	3	2012
TCGA-43-6143-01A	TCGA-43-6143-01A-13-2194-20	01f9ec9b-2018-4773-aac3-afc9218f8057	20	NO	2194	13	5	3	2012
TCGA-43-6770-01A	TCGA-43-6770-01A-13-2195-20	ebc6f011-b3ec-4c3a-b834-042da6b23280	20	NO	2195	13	5	3	2012
TCGA-43-6771-01A	TCGA-43-6771-01A-13-2195-20	6d6d5925-f180-4866-bcb1-f954a2da17f7	20	NO	2195	13	5	3	2012
TCGA-46-6025-01A	TCGA-46-6025-01A-13-2194-20	55f36d96-6b14-4aee-97fe-a846962e8512	20	NO	2194	13	5	3	2012
TCGA-46-6026-01A	TCGA-46-6026-01A-13-2194-20	1f974ba9-6993-4575-8372-32673ea3fdd9	20	NO	2194	13	5	3	2012
TCGA-56-6545-01A	TCGA-56-6545-01A-13-2194-20	acdc06c7-b306-4fc8-9a28-68b2a9a78d4c	20	NO	2194	13	5	3	2012
TCGA-56-6546-01A	TCGA-56-6546-01A-13-2194-20	d3df09a4-a843-49d4-84b3-e7822b797bdc	20	NO	2194	13	5	3	2012
TCGA-60-2709-01A	TCGA-60-2709-01A-22-2193-20	6542146d-b4b9-4ed7-9fcf-b511ad1c43d7	20	NO	2193	22	5	3	2012
TCGA-63-6202-01A	TCGA-63-6202-01A-13-2194-20	52080758-70e0-4463-8ef4-ebb8ba5e19d2	20	NO	2194	13	5	3	2012
TCGA-70-6722-01A	TCGA-70-6722-01A-13-2194-20	7f55ab0d-c1e6-40bb-822c-a2a007f6f2aa	20	NO	2194	13	5	3	2012
TCGA-70-6723-01A	TCGA-70-6723-01A-13-2194-20	c11267c5-85c9-41fc-9d22-9531b264afa3	20	NO	2194	13	5	3	2012
TCGA-85-6175-01A	TCGA-85-6175-01A-13-2194-20	1251f240-d00c-412d-bd87-07cffed92f72	20	NO	2194	13	5	3	2012
TCGA-85-6560-01A	TCGA-85-6560-01A-13-2194-20	e70edfac-57af-42e6-a823-2b20b8e9e203	20	NO	2194	13	5	3	2012
TCGA-85-6561-01A	TCGA-85-6561-01A-13-2194-20	9a0f38cb-9131-4cb6-8874-853dd8c89a48	20	NO	2194	13	5	3	2012
TCGA-22-5479-01A	TCGA-22-5479-01A-11-2194-20	78c6397c-c479-4743-af4b-61c1bbdc4d3f	20	NO	2194	11	5	3	2012
TCGA-33-6738-01A	TCGA-33-6738-01A-13-2194-20	5dcec6e8-27e0-4674-b842-8f2d2542d907	20	NO	2194	13	5	3	2012
TCGA-34-7107-01A	TCGA-34-7107-01A-13-2194-20	b00c4a7d-5025-40e5-be42-dac01b3de7fe	20	NO	2194	13	5	3	2012
TCGA-63-7020-01A	TCGA-63-7020-01A-13-2194-20	ff0190fb-eb34-4331-9068-2c02bf067253	20	NO	2194	13	5	3	2012
TCGA-63-7021-01A	TCGA-63-7021-01A-13-2194-20	81db3e1a-0540-49d0-a6fa-c2561c14fe7c	20	NO	2194	13	5	3	2012
TCGA-63-7022-01A	TCGA-63-7022-01A-13-2194-20	51130a95-5996-4288-ab16-504f6d8b8314	20	NO	2194	13	5	3	2012
TCGA-63-7023-01A	TCGA-63-7023-01A-13-2194-20	ab830587-6698-4cd1-9690-d620819ef10f	20	NO	2194	13	5	3	2012
TCGA-77-6842-01A	TCGA-77-6842-01A-13-2194-20	0b3eb76b-445c-4a34-9e9c-d626c5a79b80	20	NO	2194	13	5	3	2012
TCGA-77-6843-01A	TCGA-77-6843-01A-13-2194-20	ad48f945-91c3-4ef1-8ecd-4dfbb5449718	20	NO	2194	13	5	3	2012
TCGA-77-6844-01A	TCGA-77-6844-01A-13-2194-20	7490a6fd-28ce-444d-800c-5d8da101263e	20	NO	2194	13	5	3	2012
TCGA-77-6845-01A	TCGA-77-6845-01A-13-2194-20	53a0c948-51c5-45f0-ae9e-a27679f2849f	20	NO	2194	13	5	3	2012
TCGA-79-5596-01A	TCGA-79-5596-01A-11-2194-20	7ffba9b0-d42d-4078-b1a5-f83bcb3c39e1	20	NO	2194	11	5	3	2012
